GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TestNr1Extension,pl.kurs.zadanie01.model,Square,12,34,1,1,4,9,3,5,2,5
TestNr1Extension,pl.kurs.zadanie01.model,Circle,12,36,1,1,4,9,3,5,2,5
TestNr1Extension,pl.kurs.zadanie01.model,Figure,47,14,7,1,9,5,8,3,4,3
TestNr1Extension,pl.kurs.zadanie01.model,Rectangle,61,60,10,4,11,12,11,7,5,6
TestNr1Extension,pl.kurs.zadanie02.services,CurrencyCache,47,14,2,0,10,5,4,1,3,1
TestNr1Extension,pl.kurs.zadanie02.services,UrlBuilder,17,0,0,0,4,0,2,0,2,0
TestNr1Extension,pl.kurs.zadanie02.services,CurrencyService,49,20,3,1,10,6,2,2,0,2
TestNr1Extension,pl.kurs.zadanie02.services,RateService,13,90,1,3,3,23,1,5,0,4
TestNr1Extension,pl.kurs.zadanie01.service,FiguresService.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
TestNr1Extension,pl.kurs.zadanie01.service,ShapeFactory,58,72,12,0,5,10,8,9,2,9
TestNr1Extension,pl.kurs.zadanie01.service,FiguresService,18,51,0,0,1,14,2,6,2,6
TestNr1Extension,pl.kurs.zadanie01.config,ObjectMapperHolder,0,48,0,0,0,12,0,4,0,4
TestNr1Extension,pl.kurs.zadanie02,Runner,125,0,7,0,44,0,8,0,4,0
TestNr1Extension,pl.kurs.zadanie01,Main,7,0,0,0,3,0,2,0,2,0
TestNr1Extension,pl.kurs.zadanie01,FiguresRunner,74,0,2,0,17,0,3,0,2,0
TestNr1Extension,pl.kurs.zadanie02.exceptions,InvalidInputDataException,0,4,0,0,0,2,0,1,0,1
TestNr1Extension,pl.kurs.zadanie02.config,ObjectMapperHolder,48,0,0,0,12,0,4,0,4,0
